,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
United Nations,,,,,,,,,,,,,,,,,
Population Division,,,,,,,,,,,,,,,,,
Department of Economic and Social Affairs,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
World Population Prospects: The 2017 Revision,,,,,,,,,,,,,,,,,
"File MORT/1-1: Infant mortality rate (both sexes combined) by region, subregion and country, 1950-2100 (infant deaths per 1,000 live births)",,,,,,,,,,,,,,,,,
"Estimates, 1950 - 2015",,,,,,,,,,,,,,,,,
POP/DB/WPP/Rev.2017/MORT/F01-1,,,,,,,,,,,,,,,,,
June 2017 - Copyright © 2017 by United Nations. All rights reserved,,,,,,,,,,,,,,,,,
"Suggested citation: United Nations, Department of Economic and Social Affairs, Population Division (2017). World Population Prospects: The 2017 Revision, DVD Edition.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,"Infant mortality rate, 1q0, for both sexes combined (infant deaths per 1,000 live births)",,,,,,,,,,,,
Index,Variant,"Region, subregion, country or area *",Notes,Country code,1950-1955,1955-1960,1960-1965,1965-1970,1970-1975,1975-1980,1980-1985,1985-1990,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015
135,Estimates,Eastern Europe,,923,   90,   57,   40,   32,   28,   27,   24,   21,   19,   17,   14,   10,   8
136,Estimates,Belarus,,112,   96,   57,   38,   26,   21,   22,   20,   16,   15,   15,   10,   6,   4
137,Estimates,Bulgaria,,100,   90,   62,   36,   30,   25,   22,   17,   14,   15,   15,   13,   10,   8
138,Estimates,Czechia,,203,   42,   23,   20,   22,   20,   17,   14,   11,   9,   5,   4,   3,   3
139,Estimates,Hungary,,348,   72,   55,   43,   37,   35,   26,   20,   17,   13,   10,   7,   6,   5
140,Estimates,Poland,,616,   79,   59,   50,   36,   32,   27,   24,   20,   16,   10,   7,   6,   5
141,Estimates,Republic of Moldova,13,498,   81,   69,   59,   49,   46,   46,   36,   31,   29,   24,   19,   16,   14
142,Estimates,Romania,,642,   91,   80,   54,   51,   39,   31,   26,   26,   23,   20,   17,   12,   9
143,Estimates,Russian Federation,,643,   100,   59,   40,   31,   26,   29,   26,   24,   22,   21,   16,   11,   8
144,Estimates,Slovakia,,703,   74,   38,   27,   25,   25,   22,   18,   14,   12,   9,   7,   6,   6
145,Estimates,Ukraine,14,804,   79,   46,   31,   23,   21,   23,   20,   18,   17,   17,   15,   13,   9
146,Estimates,Northern Europe,15,924,   34,   26,   22,   18,   16,   13,   11,   9,   7,   6,   5,   4,   4
147,Estimates,Channel Islands,16,830,   32,   28,   27,   25,   23,   21,   18,   16,   14,   12,   10,   9,   8
148,Estimates,Denmark,,208,   28,   23,   20,   16,   12,   9,   8,   8,   6,   5,   5,   4,   4
149,Estimates,Estonia,,233,   85,   50,   33,   23,   21,   22,   20,   18,   16,   12,   7,   5,   3
150,Estimates,Finland,17,246,   33,   25,   19,   15,   12,   9,   6,   6,   5,   4,   3,   3,   2
151,Estimates,Iceland,,352,   22,   18,   17,   13,   12,   9,   6,   6,   5,   4,   3,   2,   2
152,Estimates,Ireland,,372,   41,   33,   28,   22,   18,   15,   10,   8,   7,   6,   5,   4,   3
153,Estimates,Latvia,,428,   77,   45,   30,   22,   20,   23,   18,   15,   18,   16,   10,   8,   6
154,Estimates,Lithuania,,440,   108,   64,   43,   27,   22,   22,   18,   15,   16,   11,   8,   6,   4
155,Estimates,Norway,18,578,   22,   19,   17,   14,   11,   9,   8,   8,   6,   4,   3,   3,   2
156,Estimates,Sweden,,752,   19,   17,   15,   12,   10,   8,   7,   6,   5,   4,   3,   3,   2
157,Estimates,United Kingdom,,826,   28,   24,   22,   19,   17,   14,   11,   9,   7,   6,   5,   5,   4
158,Estimates,Southern Europe,19,925,   77,   63,   52,   41,   30,   22,   17,   13,   10,   8,   6,   5,   4
159,Estimates,Albania,,8,   145,   125,   99,   77,   58,   47,   43,   38,   31,   26,   21,   17,   15
160,Estimates,Bosnia and Herzegovina,,70,   189,   136,   98,   73,   49,   34,   26,   18,   18,   11,   10,   9,   8
161,Estimates,Croatia,,191,   96,   71,   50,   35,   25,   22,   18,   14,   10,   7,   7,   6,   4
162,Estimates,Greece,,300,   46,   41,   38,   34,   25,   21,   15,   12,   8,   7,   5,   3,   3
163,Estimates,Italy,,380,   59,   48,   40,   32,   26,   17,   12,   9,   7,   5,   4,   3,   3
164,Estimates,Malta,,470,   51,   33,   28,   23,   20,   17,   14,   12,   10,   8,   7,   6,   5
165,Estimates,Montenegro,,499,   120,   104,   72,   50,   33,   29,   26,   21,   18,   12,   12,   11,   4
166,Estimates,Portugal,,620,   92,   87,   77,   61,   45,   30,   20,   14,   9,   6,   5,   3,   3
167,Estimates,Serbia,20,688,   118,   103,   88,   69,   51,   40,   35,   22,   17,   16,   14,   12,   10
168,Estimates,Slovenia,,705,   23,   19,   17,   17,   16,   14,   13,   10,   7,   5,   4,   3,   3
169,Estimates,Spain,21,724,   63,   51,   42,   33,   23,   15,   11,   8,   7,   5,   4,   3,   3
170,Estimates,TFYR Macedonia,22,807,   136,   113,   95,   82,   69,   62,   52,   40,   27,   18,   13,   11,   9
171,Estimates,Western Europe,23,926,   44,   35,   27,   21,   18,   13,   10,   8,   6,   5,   4,   4,   3
172,Estimates,Austria,,40,   53,   42,   32,   26,   24,   16,   12,   9,   7,   5,   4,   4,   3
173,Estimates,Belgium,,56,   45,   35,   27,   22,   18,   14,   11,   9,   8,   5,   4,   4,   3
174,Estimates,France,,250,   46,   34,   25,   21,   16,   12,   9,   8,   7,   5,   4,   4,   3
175,Estimates,Germany,,276,   46,   39,   30,   23,   21,   16,   11,   8,   6,   5,   4,   4,   3
176,Estimates,Luxembourg,,442,   43,   37,   29,   21,   18,   13,   12,   9,   7,   5,   5,   2,   3
177,Estimates,Netherlands,,528,   23,   18,   16,   13,   11,   9,   8,   7,   6,   5,   5,   4,   3
178,Estimates,Switzerland,,756,   29,   24,   21,   17,   14,   10,   8,   7,   6,   5,   5,   4,   4
179,Estimates,LATIN AMERICA AND THE CARIBBEAN,,904,   128,   114,   102,   91,   81,   70,   60,   48,   39,   32,   25,   21,   19
180,Estimates,Caribbean,24,915,   125,   111,   94,   83,   73,   70,   66,   54,   46,   39,   33,   30,   27
181,Estimates,Antigua and Barbuda,,28,   93,   76,   62,   50,   41,   33,   27,   22,   18,   15,   12,   10,   9
182,Estimates,Aruba,,533,   69,   52,   43,   36,   29,   25,   20,   19,   19,   18,   18,   16,   15
183,Estimates,Bahamas,,44,   71,   58,   48,   40,   33,   27,   22,   18,   16,   14,   12,   10,   9
184,Estimates,Barbados,,52,   86,   72,   60,   45,   37,   30,   25,   20,   17,   14,   12,   11,   10
185,Estimates,Cuba,,192,   81,   70,   59,   50,   38,   22,   18,   13,   10,   8,   6,   6,   5
186,Estimates,Curaçao,,531,   66,   50,   41,   34,   27,   22,   18,   17,   15,   15,   15,   13,   10
187,Estimates,Dominican Republic,,214,   153,   139,   124,   109,   96,   86,   75,   63,   48,   41,   35,   30,   25
188,Estimates,Grenada,,308,   108,   87,   69,   55,   44,   35,   28,   22,   18,   14,   12,   10,   10
189,Estimates,Guadeloupe,25,312,   81,   65,   52,   42,   33,   27,   21,   17,   14,   11,   9,   7,   6
190,Estimates,Haiti,,332,   221,   195,   172,   151,   136,   132,   123,   101,   86,   70,   56,   52,   47
191,Estimates,Jamaica,,388,   90,   76,   59,   49,   42,   33,   30,   26,   23,   22,   20,   18,   15
192,Estimates,Martinique,,474,   81,   66,   55,   45,   35,   28,   22,   17,   14,   11,   9,   8,   6
193,Estimates,Puerto Rico,,630,   63,   51,   45,   33,   25,   20,   17,   14,   12,   11,   8,   7,   6
194,Estimates,Saint Lucia,,662,   148,   130,   90,   57,   46,   33,   24,   20,   17,   15,   14,   12,   11
195,Estimates,Saint Vincent and the Grenadines,,670,   122,   144,   112,   77,   54,   41,   36,   28,   22,   21,   21,   19,   17
196,Estimates,Trinidad and Tobago,,780,   83,   67,   51,   48,   43,   38,   32,   29,   28,   29,   29,   27,   25
197,Estimates,United States Virgin Islands,,850,   58,   47,   41,   35,   30,   25,   22,   18,   15,   13,   12,   11,   9
198,Estimates,Central America,,916,   130,   111,   97,   87,   76,   64,   54,   45,   36,   30,   23,   22,   20
199,Estimates,Belize,,84,   100,   89,   78,   69,   60,   50,   40,   35,   30,   23,   20,   17,   14
200,Estimates,Costa Rica,,188,   103,   93,   82,   70,   56,   35,   23,   17,   15,   12,   11,   10,   9
201,Estimates,El Salvador,,222,   150,   135,   122,   111,   102,   93,   80,   61,   41,   29,   24,   21,   17
202,Estimates,Guatemala,,320,   169,   155,   141,   127,   112,   97,   82,   68,   55,   45,   37,   31,   27
203,Estimates,Honduras,,340,   169,   154,   135,   119,   104,   81,   65,   53,   43,   35,   31,   29,   28
204,Estimates,Mexico,,484,   121,   101,   88,   79,   69,   57,   47,   40,   33,   28,   21,   20,   19
